,Latitude,Longitude,Depth,Root Mean Square,Magnitude,Day,Month,Year,Hours,Minutes,Seconds,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWW,Location Source_ISCGEM,Magnitude Source_NC,Magnitude Source_US
0,71.19,-8.263,10.0,0.95,1.9459101490553128,21,5,2000,19,58,47,0,0,0,1,0,0,0,0
1,-7.31,155.282,33.0,1.2,1.88706964903238,3,5,1996,3,7,13,0,0,0,1,0,0,0,0
2,37.502,138.467,15.1,0.71,1.9021075263969205,16,7,2007,6,37,40,0,0,0,1,0,0,0,0
3,52.122,-30.179,10.0,0.83,1.9315214116032136,24,1,2004,13,1,46,0,0,1,0,0,0,0,1
4,-10.965,119.103,33.0,1.022469952000009,1.88706964903238,20,6,1980,18,51,31,0,0,0,0,0,0,0,1
5,-3.284,142.769,10.0,0.86,1.9459101490553128,17,9,2002,11,20,23,0,0,0,1,0,0,0,0
6,-8.818,156.941,33.0,1.022469952000009,2.0149030205422647,18,11,1976,3,24,0,1,0,0,0,0,0,0,1
7,-15.6542,-72.0092,20.0,0.85,1.8718021769015916,15,8,2016,2,59,1,0,0,1,0,0,0,0,1
8,-41.887,88.634,10.0,0.75,1.8718021769015916,25,2,2009,16,8,0,0,0,0,1,0,0,0,1
9,31.127,141.758,22.7,1.0,1.8718021769015916,21,5,1992,13,52,38,0,1,0,0,0,0,0,0
10,-18.163,-175.606,36.8,1.3,1.9600947840472696,13,10,1984,2,3,48,0,1,0,0,0,0,0,0
11,0.932,-28.432,10.0,1.1,2.028148247292285,6,6,1985,2,40,13,0,1,0,0,0,0,1,0
12,-9.461,148.943,13.0,1.022469952000009,1.9315214116032136,11,4,1978,2,41,41,0,0,0,0,0,0,0,1
13,-18.109,-174.667,60.4,1.3400000000000003,1.88706964903238,20,11,1990,20,17,40,0,1,0,0,0,0,0,0
14,36.833,27.815,10.0,1.3,1.88706964903238,4,8,2004,3,1,8,0,0,0,1,0,0,0,0
15,20.687,99.822,8.0,1.1,2.0281482472922856,24,3,2011,13,55,12,0,0,0,0,1,0,0,1
16,-37.965,176.765,19.2,1.3400000000000003,2.0149030205422647,2,3,1987,1,42,34,0,1,0,0,0,0,0,0
17,-56.605,-25.452,33.0,0.95,1.8718021769015916,3,10,1998,19,30,43,0,0,0,1,0,0,0,0
18,-20.07,-175.986,112.4,1.0,1.8718021769015916,14,6,1991,20,6,50,0,1,0,0,0,0,0,0
19,6.684,123.571,112.4,0.79,1.8718021769015916,23,7,2010,22,19,35,0,0,0,0,0,0,0,1
20,-3.409,130.948,25.1,1.3400000000000003,1.8718021769015916,13,6,1984,13,42,41,0,1,0,0,0,0,0,0
21,-13.147,66.078,10.0,1.32,1.9459101490553128,13,1,2009,1,4,43,0,0,0,1,0,0,0,1
22,-22.821,-68.845,102.8,1.022469952000009,1.88706964903238,4,2,1972,13,29,15,0,1,0,0,0,1,0,0
23,-36.448,-97.6,15.0,1.022469952000009,1.9600947840472696,13,9,1965,16,15,45,0,1,0,0,0,1,0,0
24,18.583,-105.517,20.3,1.2,1.9600947840472696,11,12,1995,19,44,9,0,1,0,0,0,0,0,0
25,40.182,78.92,10.2,1.022469952000009,1.9740810260220096,15,1,1972,20,21,48,0,1,0,0,0,1,0,0
26,-8.201,-13.449,10.0,1.04,1.8718021769015916,19,8,2008,8,33,55,0,0,0,1,0,0,0,0
27,-3.933,151.698,112.4,0.85,1.8718021769015916,14,3,2006,4,37,27,0,0,0,1,0,0,0,0
28,-20.561,-173.803,33.0,1.022469952000009,1.9740810260220096,31,3,1980,13,4,31,1,0,0,0,0,0,0,1
29,53.929,160.482,33.0,1.022469952000009,1.9021075263969205,21,10,1974,12,48,14,0,0,0,0,0,0,0,1
30,-20.391,-174.234,33.0,1.2,1.9459101490553128,1,1,1996,1,34,16,0,1,0,0,0,0,0,0
31,-20.266,170.012,39.0,1.022469952000009,1.9021075263969205,28,7,1976,17,21,5,0,0,0,0,0,0,0,1
32,-10.667,119.301,33.0,1.022469952000009,1.9021075263969205,26,8,1977,8,26,37,1,0,0,0,0,0,0,1
33,12.136,-87.935,51.7,1.1,1.8718021769015916,21,5,1995,17,6,33,0,1,0,0,0,0,0,0
